id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
23613309,Downtown Core! 2 min from King and Spadina!,24949915,Eropa,,Waterfront Communities-The Island,43.64414,-79.39028,Entire home/apt,178,1,11,2019-07-28,0.65,1,88
23613453,NEW* 4 Bed Home Directly in Trinity Bellwoods Park,64470479,Valerie,,Trinity-Bellwoods,43.64967,-79.41198,Entire home/apt,395,4,0,,,3,0
23613489,Comfy townhouse unit,171657834,Melissa,,Humbermede,43.7461,-79.56591,Entire home/apt,76,2,61,2019-06-12,3.57,1,142
23613775,Toronto 3BR Apt near Streetcar & Lake FREE parking,4154001,Cristina,,Long Branch,43.59354,-79.53383,Entire home/apt,231,1,51,2019-07-22,2.96,1,1
23613862,1BR luxury harbourfront condo,33534711,Neha,,Waterfront Communities-The Island,43.64096,-79.38003,Entire home/apt,249,2,2,2019-08-05,1.76,3,19
23613995,Amazing location! Annex Apt. Private Bdrm w/Salon,11017267,Marina,,Annex,43.66695,-79.40917,Private room,70,2,27,2019-08-05,1.71,1,19
23614159,Feel the warmth hospitality.,157627670,Aruna,,Eglinton East,43.74291,-79.24193,Private room,50,7,4,2019-03-14,0.29,2,125
23614198,"Bright, clean, modern suite in the Junction",4782917,Maria,,Junction Area,43.66334,-79.46906,Entire home/apt,100,3,40,2019-08-05,2.33,1,204
23614636,Thompson,36739979,Nasif,,Waterfront Communities-The Island,43.64324,-79.40111,Entire home/apt,129,5,96,2019-07-31,5.56,1,62
23615067,"North York, Seneca, Private room/TTC",130912946,Anita,,Don Valley Village,43.79057,-79.36262,Private room,50,2,28,2019-07-11,1.62,6,71
23620064,Downtown Toronto Little Italy Trinity Bellwood,150625571,Dash,,Palmerston-Little Italy,43.656,-79.41696,Entire home/apt,138,3,0,,,2,66
23621826,LakeView Loft.,21380345,Chad,,Little Portugal,43.64208,-79.42193,Entire home/apt,120,2,1,2018-06-24,0.07,1,0
23624726,Spectacular 3BR Condo with Parking - Must See!,176767473,Yvonne,,Waterfront Communities-The Island,43.63996,-79.39757,Entire home/apt,139,2,60,2019-06-06,3.45,1,117
23625342,"Modern,Cozy and BrightApartment- FreeParking&Wi-fi",109256184,Farnood,,Newtonbrook West,43.78691,-79.42891,Entire home/apt,98,1,8,2018-05-08,0.49,1,0
23625512,Private Bright Comfy Room in the hip Junction area,43822,Victor,,Junction Area,43.6635,-79.47744,Private room,72,1,1,2018-11-24,0.12,1,0
23625662,Spacious Room near Finch Subway (Ladies only)1,18737218,Woo,,Newtonbrook West,43.78141,-79.42786,Shared room,34,1,48,2019-07-16,2.81,8,342
23626186,Beautiful private room close to the airport,53363416,Salwa,,Mount Olive-Silverstone-Jamestown,43.75521,-79.59136,Private room,65,2,1,2019-02-23,0.18,2,342
23626290,Perfect place in Toronto,110357834,Monica,,High Park North,43.66081,-79.46646,Entire home/apt,119,2,14,2019-07-08,0.91,2,66
23630755,Spacious and Bright Room in Downtown Toronto,60434877,Maddie,,Kensington-Chinatown,43.65664,-79.40641,Private room,31,1,16,2018-04-18,0.92,1,0
23632875,Home Away From Home,21291598,Leif,,North St.James Town,43.66761,-79.37584,Private room,76,2,1,2018-08-11,0.08,1,76
23633368,Cozy basement in house with private entrance,130966971,Denys,,Rockcliffe-Smythe,43.67933,-79.49295,Entire home/apt,40,1,1,2018-03-11,0.06,1,0
